,TEAM,TOTAL,LAST,NON-ADJ,W-L,OFFENSE,OFF.,DEFENSE,DEF.,S.T.,S.T.,Year
1,NE,24.90%,6,30.40%,14-2,20.80%,2,-1.80%,16,2.30%,8,2016
2,DAL,20.30%,27,19.20%,13-3,19.90%,3,1.10%,18,1.60%,9,2016
3,ATL,19.80%,26,20.50%,5-Nov,24.60%,1,7.30%,26,2.50%,7,2016
4,PIT,17.10%,7,18.50%,5-Nov,12.50%,7,-4.70%,11,-0.10%,16,2016
5,PHI,14.40%,22,11.10%,9-Jul,-5.50%,20,-12.40%,4,7.50%,2,2016
6,KC,13.50%,5,12.70%,4-Dec,2.90%,13,-2.80%,14,7.80%,1,2016
7,GB,12.30%,10,10.80%,6-Oct,16.60%,4,2.50%,20,-1.90%,21,2016
8,NYG,9.60%,20,5.40%,5-Nov,-6.00%,22,-14.50%,2,1.20%,11,2016
9,WAS,9.50%,15,6.00%,8/7/2001,15.80%,5,6.80%,25,0.40%,13,2016
10,OAK,8.20%,14,6.70%,4-Dec,12.20%,8,4.30%,22,0.30%,14,2016
11,SEA,8.00%,1,10.80%,10/5/2001,-2.60%,16,-10.60%,5,-0.10%,15,2016
12,BAL,7.40%,17,5.80%,8-Aug,-7.50%,24,-9.90%,6,4.90%,4,2016
13,CIN,4.00%,2,2.90%,6/9/2001,7.50%,11,0.80%,17,-2.70%,28,2016
14,DEN,3.70%,8,4.80%,7-Sep,-12.30%,28,-18.30%,1,-2.30%,24,2016
15,TEN,3.50%,31,9.30%,7-Sep,10.80%,9,6.40%,24,-1.00%,19,2016
16,ARI,1.30%,3,4.70%,7/8/2001,-6.00%,21,-13.60%,3,-6.30%,30,2016
17,BUF,1.00%,12,3.70%,9-Jul,10.70%,10,7.80%,27,-1.90%,22,2016
18,MIA,1.00%,29,3.60%,6-Oct,1.80%,14,1.60%,19,0.80%,12,2016
19,SD,-1.10%,24,-1.20%,11-May,-3.20%,18,-6.80%,7,-4.80%,29,2016
20,MIN,-1.70%,11,0.20%,8-Aug,-9.80%,26,-6.60%,8,1.50%,10,2016
21,NO,-1.90%,28,1.60%,9-Jul,15.40%,6,14.60%,31,-2.60%,27,2016
22,TB,-3.00%,21,-6.10%,7-Sep,-4.10%,19,-2.90%,13,-1.80%,20,2016
23,IND,-4.60%,23,-2.90%,8-Aug,3.70%,12,12.50%,29,4.10%,5,2016
24,CAR,-5.50%,4,-8.70%,10-Jun,-8.40%,25,-5.30%,10,-2.50%,25,2016
25,CHI,-8.30%,19,-9.80%,13-Mar,-2.60%,17,5.00%,23,-0.60%,18,2016
26,JAC,-10.40%,25,-8.80%,13-Mar,-11.30%,27,-3.10%,12,-2.30%,23,2016
27,DET,-15.60%,13,-14.30%,7-Sep,-0.60%,15,18.50%,32,3.50%,6,2016
28,SF,-19.60%,32,-21.80%,14-Feb,-7.20%,23,12.10%,28,-0.30%,17,2016
29,HOU,-21.90%,18,-19.20%,7-Sep,-21.20%,30,-5.80%,9,-6.50%,31,2016
30,LARM,-28.60%,16,-25.60%,12-Apr,-37.80%,32,-2.00%,15,7.10%,3,2016
31,CLE,-30.40%,30,-37.70%,15-Jan,-13.40%,29,14.50%,30,-2.50%,26,2016
32,NYJ,-32.40%,9,-33.40%,11-May,-21.90%,31,3.70%,21,-6.80%,32,2016
