RK,TEAM,TOTAL,LAST,WEI.,RANK,W-L,OFFENSE,OFF.,DEFENSE,DEF.,S.T.,S.T.,Year
1,KC,32.90%,10,31.20%,1,4-Dec,34.20%,1,6.90%,26,5.60%,2,2018
2,LAR,24.00%,2,19.60%,6,13-3,24.60%,2,0.50%,17,-0.20%,17,2018
3,LAC,22.60%,11,23.70%,3,4-Dec,20.70%,3,-4.70%,8,-2.80%,25,2018
4,NO,20.50%,1,26.00%,2,13-3,15.90%,4,-2.90%,11,1.70%,9,2018
5,CHI,19.40%,25,20.50%,5,4-Dec,-3.40%,20,-26.00%,1,-3.20%,26,2018
6,BAL,17.00%,7,18.70%,7,6-Oct,0.90%,15,-13.10%,3,2.90%,6,2018
7,NE,14.20%,6,17.80%,8,5-Nov,14.50%,5,0.40%,16,0.10%,16,2018
8,IND,12.60%,31,22.10%,4,6-Oct,8.20%,10,-3.40%,10,0.90%,12,2018
9,PIT,11.20%,3,12.50%,10,9/6/2001,13.80%,6,-0.90%,13,-3.50%,27,2018
10,MIN,8.10%,4,15.70%,9,8/7/2001,-1.30%,18,-10.30%,4,-0.90%,19,2018
11,HOU,7.10%,28,8.00%,13,5-Nov,-3.50%,21,-7.10%,7,3.50%,5,2018
12,SEA,6.70%,14,6.00%,14,6-Oct,8.80%,9,-0.10%,14,-2.20%,24,2018
13,DEN,6.60%,29,8.60%,11,10-Jun,1.10%,14,-9.70%,5,-4.20%,31,2018
14,CAR,0.50%,9,-3.00%,20,9-Jul,6.00%,11,5.40%,22,-0.20%,18,2018
15,NYG,0.00%,30,4.80%,15,11-May,1.30%,13,5.80%,24,4.50%,3,2018
16,PHI,-0.10%,5,3.60%,16,7-Sep,-0.30%,16,0.00%,15,0.20%,15,2018
17,CLE,-2.80%,32,8.50%,12,7/8/2001,-1.10%,17,-2.50%,12,-4.20%,30,2018
18,ATL,-3.00%,15,1.80%,17,9-Jul,8.80%,8,13.30%,31,1.40%,10,2018
19,GB,-3.10%,17,-5.60%,21,6/9/2001,11.10%,7,10.10%,29,-4.10%,29,2018
20,TEN,-4.90%,18,-0.10%,18,7-Sep,-5.10%,22,0.60%,19,0.80%,13,2018
21,DAL,-5.20%,13,-2.50%,19,6-Oct,-6.60%,24,-3.50%,9,-2.10%,23,2018
22,JAX,-8.10%,8,-15.10%,25,11-May,-22.00%,30,-9.40%,6,4.40%,4,2018
23,CIN,-9.70%,24,-17.60%,27,10-Jun,-3.30%,19,9.00%,27,2.60%,7,2018
24,TB,-13.00%,23,-10.60%,24,11-May,5.90%,12,14.80%,32,-4.10%,28,2018
25,NYJ,-14.70%,26,-17.40%,26,12-Apr,-19.50%,29,3.30%,21,8.10%,1,2018
26,DET,-15.20%,12,-5.80%,22,10-Jun,-5.20%,23,9.00%,28,-0.90%,20,2018
27,MIA,-16.50%,27,-29.50%,31,9-Jul,-8.90%,26,6.50%,25,-1.10%,21,2018
28,BUF,-18.20%,21,-6.80%,23,10-Jun,-27.50%,31,-14.50%,2,-5.10%,32,2018
29,WAS,-18.60%,16,-25.40%,30,9-Jul,-19.50%,28,1.70%,20,2.50%,8,2018
30,SF,-20.70%,20,-19.80%,29,12-Apr,-15.40%,27,5.70%,23,0.30%,14,2018
31,OAK,-21.00%,19,-19.70%,28,12-Apr,-7.10%,25,12.30%,30,-1.60%,22,2018
32,ARI,-40.70%,22,-45.10%,32,13-Mar,-41.10%,32,0.50%,18,1.00%,11,2018
